,,,travel_time,travel_time,travel_time,stopped_time,stopped_time,stopped_time
,,,count,mean,std,count,mean,std
try_number,priority_distance_m,mode,,,,,,
13,50.0,Priority OFF,10,76.4,73.3,10,26.7,44.197
13,50.0,Priority ON,10,39.4,28.438,10,0.6,1.578
13,100.0,Priority OFF,10,76.4,73.3,10,26.7,44.197
13,100.0,Priority ON,10,53.0,42.701,10,1.5,3.408
13,150.0,Priority OFF,10,76.4,73.3,10,26.7,44.197
13,150.0,Priority ON,10,44.8,39.412,10,2.4,6.257
13,200.0,Priority OFF,10,76.4,73.3,10,26.7,44.197
13,200.0,Priority ON,10,37.5,25.048,10,0.1,0.316
14,50.0,Priority OFF,10,76.4,62.575,10,25.0,32.038
14,50.0,Priority ON,10,46.0,35.734,10,1.6,2.171
14,100.0,Priority OFF,10,76.4,62.575,10,25.0,32.038
14,100.0,Priority ON,10,48.3,42.63,10,0.3,0.675
14,150.0,Priority OFF,10,76.4,62.575,10,25.0,32.038
14,150.0,Priority ON,10,52.0,41.478,10,1.3,2.111
14,200.0,Priority OFF,10,76.4,62.575,10,25.0,32.038
14,200.0,Priority ON,10,51.6,41.506,10,0.3,0.675
15,50.0,Priority OFF,10,70.7,53.131,10,13.9,16.947
15,50.0,Priority ON,10,63.5,56.068,10,1.4,2.716
15,100.0,Priority OFF,10,70.7,53.131,10,13.9,16.947
15,100.0,Priority ON,10,68.5,52.762,10,3.5,4.625
15,150.0,Priority OFF,10,70.7,53.131,10,13.9,16.947
15,150.0,Priority ON,10,63.2,54.766,10,2.0,3.162
15,200.0,Priority OFF,10,70.7,53.131,10,13.9,16.947
15,200.0,Priority ON,10,55.4,56.612,10,2.6,4.326
16,50.0,Priority OFF,10,56.4,39.864,10,9.3,13.784
16,50.0,Priority ON,10,58.4,52.498,10,1.0,2.0
16,100.0,Priority OFF,10,56.4,39.864,10,9.3,13.784
16,100.0,Priority ON,10,54.1,41.536,10,0.7,1.567
16,150.0,Priority OFF,10,56.4,39.864,10,9.3,13.784
16,150.0,Priority ON,10,49.2,33.881,10,0.7,1.337
16,200.0,Priority OFF,10,56.4,39.864,10,9.3,13.784
16,200.0,Priority ON,10,61.9,37.385,10,1.1,2.807
17,50.0,Priority OFF,10,80.8,75.934,10,19.6,38.543
17,50.0,Priority ON,10,62.0,48.413,10,3.9,10.619
17,100.0,Priority OFF,10,80.8,75.934,10,19.6,38.543
17,100.0,Priority ON,10,47.4,48.811,10,2.2,4.158
17,150.0,Priority OFF,10,80.8,75.934,10,19.6,38.543
17,150.0,Priority ON,10,57.3,42.846,10,0.6,1.265
17,200.0,Priority OFF,10,80.8,75.934,10,19.6,38.543
17,200.0,Priority ON,10,51.0,53.089,10,0.3,0.675
18,50.0,Priority OFF,10,84.9,63.255,10,23.1,30.636
18,50.0,Priority ON,10,40.5,29.834,10,1.1,2.183
18,100.0,Priority OFF,10,84.9,63.255,10,23.1,30.636
18,100.0,Priority ON,10,61.6,42.999,10,3.7,7.775
18,150.0,Priority OFF,10,84.9,63.255,10,23.1,30.636
18,150.0,Priority ON,10,48.5,28.784,10,3.0,6.182
18,200.0,Priority OFF,10,84.9,63.255,10,23.1,30.636
18,200.0,Priority ON,10,51.1,43.885,10,1.3,3.433
19,50.0,Priority OFF,10,47.0,41.258,10,13.9,23.558
19,50.0,Priority ON,10,49.4,41.425,10,0.1,0.316
19,100.0,Priority OFF,10,47.0,41.258,10,13.9,23.558
19,100.0,Priority ON,10,53.6,39.382,10,1.4,4.088
19,150.0,Priority OFF,10,47.0,41.258,10,13.9,23.558
19,150.0,Priority ON,10,50.7,35.969,10,1.3,3.129
19,200.0,Priority OFF,10,47.0,41.258,10,13.9,23.558
19,200.0,Priority ON,10,63.6,42.146,10,0.8,2.201
20,50.0,Priority OFF,10,89.9,65.085,10,27.6,27.581
20,50.0,Priority ON,10,50.3,46.55,10,1.5,2.915
20,100.0,Priority OFF,10,89.9,65.085,10,27.6,27.581
20,100.0,Priority ON,10,59.5,46.429,10,0.4,0.699
20,150.0,Priority OFF,10,89.9,65.085,10,27.6,27.581
20,150.0,Priority ON,10,47.4,39.164,10,1.6,3.864
20,200.0,Priority OFF,10,89.9,65.085,10,27.6,27.581
20,200.0,Priority ON,10,54.7,45.77,10,1.4,3.406
21,50.0,Priority OFF,10,62.3,65.637,10,10.0,21.14
21,50.0,Priority ON,10,48.1,46.047,10,1.1,2.283
21,100.0,Priority OFF,10,62.3,65.637,10,10.0,21.14
21,100.0,Priority ON,10,61.0,52.006,10,0.7,1.567
21,150.0,Priority OFF,10,62.3,65.637,10,10.0,21.14
21,150.0,Priority ON,10,62.2,47.772,10,1.2,2.486
21,200.0,Priority OFF,10,62.3,65.637,10,10.0,21.14
21,200.0,Priority ON,10,55.1,48.995,10,1.2,2.821
22,50.0,Priority OFF,10,67.5,59.016,10,17.2,22.69
22,50.0,Priority ON,10,36.3,24.775,10,0.3,0.483
22,100.0,Priority OFF,10,67.5,59.016,10,17.2,22.69
22,100.0,Priority ON,10,50.8,40.873,10,0.8,1.476
22,150.0,Priority OFF,10,67.5,59.016,10,17.2,22.69
22,150.0,Priority ON,10,55.6,40.746,10,2.1,3.957
22,200.0,Priority OFF,10,67.5,59.016,10,17.2,22.69
22,200.0,Priority ON,10,42.2,33.947,10,0.3,0.483
23,50.0,Priority OFF,10,47.4,35.28,10,5.8,16.267
23,50.0,Priority ON,10,52.2,35.658,10,1.1,2.132
23,100.0,Priority OFF,10,47.4,35.28,10,5.8,16.267
23,100.0,Priority ON,10,78.1,50.457,10,2.6,3.806
23,150.0,Priority OFF,10,47.4,35.28,10,5.8,16.267
23,150.0,Priority ON,10,45.2,34.845,10,0.1,0.316
23,200.0,Priority OFF,10,47.4,35.28,10,5.8,16.267
23,200.0,Priority ON,10,54.8,41.777,10,0.9,1.595
24,50.0,Priority OFF,10,92.4,80.092,10,28.6,38.518
24,50.0,Priority ON,10,57.8,63.862,10,3.9,11.986
24,100.0,Priority OFF,10,92.4,80.092,10,28.6,38.518
24,100.0,Priority ON,10,41.7,27.777,10,0.2,0.422
24,150.0,Priority OFF,10,92.4,80.092,10,28.6,38.518
24,150.0,Priority ON,10,40.5,27.734,10,0.2,0.422
24,200.0,Priority OFF,10,92.4,80.092,10,28.6,38.518
24,200.0,Priority ON,10,41.7,27.733,10,0.2,0.422
25,50.0,Priority OFF,10,83.4,71.609,10,23.6,28.841
25,50.0,Priority ON,10,65.2,48.828,10,1.5,2.718
25,100.0,Priority OFF,10,83.4,71.609,10,23.6,28.841
25,100.0,Priority ON,10,52.1,47.212,10,1.1,2.514
25,150.0,Priority OFF,10,83.4,71.609,10,23.6,28.841
25,150.0,Priority ON,10,52.7,41.223,10,2.2,4.367
