try_number,demand_scenario,preemption_strategy,hold_duration,priority_enabled,priority_distance,vehicle_id,start_time,end_time,travel_time
1,normal,none,0,False,0.0,14,27.0,326.0,299.0
1,normal,none,0,False,0.0,133,244.0,326.0,82.0
1,normal,none,0,False,0.0,127,230.0,327.0,97.0
1,normal,none,0,False,0.0,76,138.0,329.0,191.0
1,normal,none,0,False,0.0,112,205.0,330.0,125.0
1,normal,none,0,False,0.0,89,162.0,332.0,170.0
1,normal,none,0,False,0.0,115,208.0,333.0,125.0
1,normal,none,0,False,0.0,147,266.0,334.0,68.0
1,normal,none,0,False,0.0,106,192.0,339.0,147.0
1,normal,none,0,False,0.0,153,314.0,343.0,29.0
1,normal,none,0,False,0.0,125,226.0,344.0,118.0
1,normal,none,0,False,0.0,93,169.0,346.0,177.0
1,normal,none,0,False,0.0,96,174.0,349.0,175.0
1,normal,none,0,False,0.0,70,127.0,350.0,223.0
1,normal,none,0,False,0.0,167,302.0,351.0,49.0
1,normal,none,0,False,0.0,77,140.0,354.0,214.0
1,normal,none,0,False,0.0,113,205.0,355.0,150.0
1,normal,none,0,False,0.0,87,158.0,358.0,200.0
1,normal,none,0,False,0.0,25,46.0,362.0,316.0
1,normal,none,0,False,0.0,74,135.0,362.0,227.0
1,normal,none,0,False,0.0,95,172.0,364.0,192.0
1,normal,none,0,False,0.0,136,249.0,369.0,120.0
1,normal,none,0,False,0.0,172,311.0,369.0,58.0
1,normal,none,0,False,0.0,131,237.0,371.0,134.0
1,normal,none,0,False,0.0,150,271.0,374.0,103.0
1,normal,none,0,False,0.0,148,268.0,377.0,109.0
1,normal,none,0,False,0.0,124,225.0,378.0,153.0
1,normal,none,0,False,0.0,196,354.0,381.0,27.0
1,normal,none,0,False,0.0,86,160.0,383.0,223.0
1,normal,none,0,False,0.0,149,270.0,385.0,115.0
1,normal,none,0,False,0.0,197,356.0,391.0,35.0
1,normal,none,0,False,0.0,162,319.0,392.0,73.0
1,normal,none,0,False,0.0,181,327.0,392.0,65.0
1,normal,none,0,False,0.0,193,349.0,394.0,45.0
1,normal,none,0,False,0.0,202,365.0,394.0,29.0
1,normal,none,0,False,0.0,100,182.0,395.0,213.0
1,normal,none,0,False,0.0,164,297.0,396.0,99.0
1,normal,none,0,False,0.0,119,216.0,400.0,184.0
1,normal,none,0,False,0.0,98,178.0,401.0,223.0
1,normal,none,0,False,0.0,189,342.0,402.0,60.0
1,normal,none,0,False,0.0,126,228.0,403.0,175.0
1,normal,none,0,False,0.0,186,336.0,403.0,67.0
1,normal,none,0,False,0.0,152,275.0,405.0,130.0
